Municipio,Año,Código,Concepto,Aprobado,Devengado,Observaciones
Acapulco de Juarez,2021,COG75,"Inversiones de Fideicomisos, Mandatos y Otros Análogos",0.00,0.00,x
Acapulco de Juarez,2021,COG76,Otras Inversiones Financieras,0.00,0.00,x
Acapulco de Juarez,2021,COG78,Provisiones para Contingencias y Otras Erogaciones Especiales,0.00,0.00,x
Acapulco de Juarez,2021,COG08,Participaciones y Aportaciones,0.00,0.00,x
Acapulco de Juarez,2021,COG81,Participaciones,0.00,0.00,x
Acapulco de Juarez,2021,COG82,Aportaciones,0.00,0.00,x
Acapulco de Juarez,2021,COG83,Convenios,0.00,0.00,x
Acapulco de Juarez,2021,COG09,Deuda Pública,286028135.10,326141225.80,x
Acapulco de Juarez,2021,COG91,Amortización de la Deuda Pública,145000000.00,227321821.00,x
Acapulco de Juarez,2021,COG92,Intereses de la Deuda Pública,35000000.09,28893313.00,x
Acapulco de Juarez,2021,COG93,Comisiones de la Deuda Pública,0.00,0.00,x
Acapulco de Juarez,2021,COG94,Gastos de la Deuda Pública,0.00,0.00,x
Acapulco de Juarez,2021,COG95,Costo por Coberturas,0.00,0.00,x
Acapulco de Juarez,2021,COG96,Apoyos Financieros,0.00,0.00,x
Acapulco de Juarez,2021,COG97,Adeudos de Ejercicios Fiscales Anteriores (ADEFAS)1,106028135.00,69926091.78,x
Acapulco de Juarez,2021,COGTOT,Total del Gasto,3851690899.00,3948534689.00,x
Aguascalientes,2021,COG01,Servicios Personales,1687461626.00,1727979364.00,x
Aguascalientes,2021,COG11,Remuneraciones al Personal  de Carácter Permanente,710642203.00,761663460.00,x
Aguascalientes,2021,COG12,Remuneraciones al Personal  de Carácter Transitorio,61528888.00,68093281.00,x
Aguascalientes,2021,COG13,Remuneraciones Adicionales y Especiales,316914432.00,334258083.00,x
Aguascalientes,2021,COG14,Seguridad Social,517633492.00,535882820.00,x
Aguascalientes,2021,COG15,Otras Prestaciones Sociales y Económicas,63513661.00,25119019.00,x
Aguascalientes,2021,COG16,Previsiones,10819037.00,0.00,x
Aguascalientes,2021,COG17,Pago de Estímulos a Servidores Públicos,6409913.00,2962701.00,x
Aguascalientes,2021,COG02,Materiales y Suministros,558203038.00,557884062.00,x
Aguascalientes,2021,COG21,"Materiales de Administración, Emisión de Documentos y Artículos Oficiales",17782801.00,27718123.00,x
Aguascalientes,2021,COG22,Alimentos y Utensilios,17880814.00,11591838.00,x
Aguascalientes,2021,COG23,Materias Primas y Materiales de Producción y Comercialización,0.00,16126.00,x
Aguascalientes,2021,COG24,Materiales y Artículos de Construcción y Reparación,39297041.00,48615717.00,x
Aguascalientes,2021,COG25,"Productos Químicos, Farmacéuticos y de Laboratorio",18351073.00,42550639.00,x
Aguascalientes,2021,COG26,"Combustibles, Lubricantes y Aditivos",338731454.00,297207747.00,x
Aguascalientes,2021,COG27,"Vestuarios, Blancos, Prendas de protección y Artículos Deportivos",30792097.00,21966607.00,x
Aguascalientes,2021,COG28,Materiales y Suministros para Seguridad,0.00,44866.00,x
Aguascalientes,2021,COG29,"Herramientas, Refacciones y Accesorios Menores",95367758.00,108172399.00,x
Aguascalientes,2021,COG03,Servicios Generales,635197173.00,819646516.00,x
Aguascalientes,2021,COG31,Servicios Básicos,157118853.00,275985368.00,x
Aguascalientes,2021,COG32,Servicios de Arrendamiento,24019378.00,62725246.00,x
Aguascalientes,2021,COG33,"Servicios Profesionales, Científicos, Técnicos y Otros Servicios",38612791.00,48040110.00,x
Aguascalientes,2021,COG34,"Servicios Financieros, Bancarios y Comerciales",57194333.00,46368253.00,x
Aguascalientes,2021,COG35,"Servicios de Instalación, Reparación, Mantenimiento y Conservación",224415885.00,183747980.00,x
Aguascalientes,2021,COG36,Servicios de Comunicación Social y Publicidad,72075278.00,66747986.00,x
Aguascalientes,2021,COG37,Servicios de Traslados y Viáticos,2443564.00,1130043.00,x
Aguascalientes,2021,COG38,Servicios Oficiales,25697787.00,10380842.00,x
Aguascalientes,2021,COG39,Otros Servicios Generales,33619304.00,124520688.00,x
Aguascalientes,2021,COG04,"Transferencias, Asignaciones, Subsidios y Otras Ayudas",332459470.00,393356668.00,x
Aguascalientes,2021,COG41,Transferencias Internas y Asignaciones del Sector Público,0.00,0.00,x
Aguascalientes,2021,COG42,Transferencias al Resto del Sector Público,215121252.00,220006874.00,x
Aguascalientes,2021,COG43,Subsidios y Subvenciones,9200000.00,9311000.00,x
Aguascalientes,2021,COG44,Ayudas Sociales,71883218.00,129364088.00,x
Aguascalientes,2021,COG45,Pensiones y Jubilaciones,0.00,0.00,x
Aguascalientes,2021,COG46,"Transferencias a Fideicomisos, Mandatos y Otros Análogos",0.00,0.00,x
Aguascalientes,2021,COG47,Transferencias a la Seguridad Social,33255000.00,29391339.00,x
Aguascalientes,2021,COG48,Donativos,3000000.00,5283367.00,x
Aguascalientes,2021,COG49,Transferencias al Exterior,0.00,0.00,x
Aguascalientes,2021,COG05,"Bienes Muebles, Inmuebles e Intangibles",10233314.00,58455435.00,x
Aguascalientes,2021,COG51,Mobiliario y Equipo de Administración,5433314.00,3784631.00,x
Aguascalientes,2021,COG52,Mobiliario y Equipo Educacional y Recreativo,0.00,115929.00,x
Aguascalientes,2021,COG53,Equipo e Instrumental Médico y de Laboratorio,0.00,90077.00,x
Aguascalientes,2021,COG54,Vehículos y Equipo de Transporte,0.00,33677932.00,x
Aguascalientes,2021,COG55,Equipo de Defensa y Seguridad,0.00,7164076.00,x
Aguascalientes,2021,COG56,"Maquinaria, Otros Equipos y Herramientas",0.00,8776860.00,x
Aguascalientes,2021,COG57,Activos Biológicos,0.00,0.00,x
Aguascalientes,2021,COG58,Bienes Inmuebles,0.00,483793.00,x
Aguascalientes,2021,COG59,Activos Intangibles,4800000.00,4362137.00,x
Aguascalientes,2021,COG06,Inversión Pública,265492454.00,254445484.00,x
Aguascalientes,2021,COG61,Obra Pública en Bienes de Dominio Público,265492454.00,254445484.00,x
Aguascalientes,2021,COG62,Obra Pública en Bienes Propios,0.00,0.00,x
Aguascalientes,2021,COG63,Proyectos Productivos y Acciones de Fomento,0.00,0.00,x
Aguascalientes,2021,COG07,Inversiones Financieras y Otras Provisiones,48250000.00,4672693.00,x
Aguascalientes,2021,COG71,Inversiones para el Fomento de Actividades Productivas,0.00,0.00,x
Aguascalientes,2021,COG72,Acciones y Participaciones de Capital,0.00,0.00,x
Aguascalientes,2021,COG73,Compra de Títulos y Valores,0.00,0.00,x
Aguascalientes,2021,COG74,Concesión de Préstamos,0.00,0.00,x
Aguascalientes,2021,COG75,"Inversiones de Fideicomisos, Mandatos y Otros Análogos",0.00,4672693.00,x
Aguascalientes,2021,COG76,Otras Inversiones Financieras,0.00,0.00,x
Aguascalientes,2021,COG78,Provisiones para Contingencias y Otras Erogaciones Especiales,48250000.00,0.00,x
